date,full_name,stars,forks,open_issues,created_at,pushed_at,top_contributors
2026-08-30,eternityspring/shuohao-skills,2421,306,3,2026-08-06T10:38:49Z,2026-08-26T14:20:50Z,eternityspring;shawncodes9;Aibrother258;zqyhimself
2026-08-30,herdrdev/herdr,33482,2442,258,2026-03-27T17:54:33Z,2026-08-30T00:03:26Z,ogulcancelik;kangal-bot;akbash-bot;Pimpmuckl;dhh
2026-08-30,google-antigravity/antigravity-sdk-python,3227,1280,35,2026-04-29T21:12:19Z,2026-08-26T19:04:13Z,karmel;abhipatel12;allenhutchison;kibergus;leehagoodjames
2026-08-30,Zeejay0/gathered-scenes-zine-skill,4578,466,12,2026-08-01T15:50:05Z,2026-08-24T09:29:24Z,Zeejay0
2026-08-30,plannotator/effective-html,2716,192,3,2026-06-09T23:24:51Z,2026-08-03T23:19:04Z,backnotprop;velaswami;jkklee
2026-08-30,immich-app/immich,112957,6760,701,2022-02-03T15:56:27Z,2026-08-30T02:51:31Z,alextran1502;jrasm91;shenlong-tanwen;mertalev;danieldietzler
2026-08-30,abi/screenshot-to-code,76153,9273,131,2023-11-14T17:53:32Z,2026-08-14T17:20:50Z,abi;claude;clean99;kachbit;justindhillon
2026-08-30,conorbronsdon/avoid-ai-writing,3800,330,23,2026-03-06T07:47:40Z,2026-08-30T07:26:24Z,conorbronsdon;ClaySecAI;mbhall88;wilu222;claude
2026-08-30,dataelement/dsh-desktop,3250,186,51,2026-08-13T13:45:50Z,2026-08-30T03:07:35Z,wisdomqin;yaojin3616;ba0gu0;SuperstructureJH;AdamPlatin123
2026-08-30,multica-ai/multica,48255,6202,1420,2026-01-13T17:59:46Z,2026-08-30T07:33:28Z,Bohan-J;NevilleQingNY;forrestchang;ldnvnbl;multica-eve
2026-08-30,Tianyu199509/DeskBox,2119,130,21,2026-06-11T10:55:22Z,2026-08-29T13:27:35Z,Tianyu199509
2026-08-30,firecrawl/anydoc,19250,1141,72,2026-08-03T16:36:14Z,2026-08-28T02:13:16Z,tomsideguide;nickscamara;abimaelmartell;Andsu-dev;ericciarla
2026-08-30,MadsLorentzen/ai-job-search,38208,12963,9,2026-03-18T14:33:04Z,2026-08-29T09:20:06Z,MadsLorentzen;ayobamiseun;oscarbol09;LeoWinston-9596;erikpr1994
2026-08-30,rocketride-org/rocketride-server,7375,2763,406,2026-02-11T17:02:53Z,2026-08-29T22:10:52Z,Rod-Christensen;kwit75;asclearuc;ryan-t-christensen;anandray
2026-08-30,MudCosmetologist/Autocad-Software,1197,120,0,2026-06-01T05:44:15Z,2026-08-26T08:16:59Z,MudCosmetologist
2026-08-30,denoland/deno,108342,6360,1543,2018-05-15T01:34:26Z,2026-08-29T19:17:00Z,bartlomieju;dsherret;ry;littledivy;nayeemrmn
2026-08-30,aquasecurity/trivy,37693,640,258,2019-04-11T01:01:07Z,2026-08-28T12:50:22Z,knqyf263;DmitriyLewen;nikpivkin;simar7;afdesk
2026-08-30,langchain-ai/langchain,145263,24247,429,2022-10-17T02:58:36Z,2026-08-30T03:40:23Z,baskaryan;hwchase17;ccurme;mdrxy;eyurtsev
2026-08-30,angular/angular,101011,27436,1153,2014-09-18T16:12:01Z,2026-08-29T01:06:10Z,gkalpak;petebacondarwin;angular-robot;devversion;crisbeto
2026-08-30,omdsh-dev/DSH-better-sidebar,3108,267,129,2026-08-07T16:04:00Z,2026-08-30T07:48:55Z,Menghuan1918;HuanLinOTO;Zzy-min;yanzhaohui1999;Hoemr
2026-08-30,agentscope-ai/QwenPaw,34674,3046,893,2026-02-24T03:42:56Z,2026-08-28T17:50:20Z,rayrayraykk;zhaozhuang521;zhijianma;hongxicheng;xieyxclack
2026-08-30,deeplethe/utopia,679,60,1,2026-08-07T19:33:17Z,2026-08-30T07:59:58Z,WaylandYang
2026-08-30,holaboss-ai/holaOS,11047,717,6,2026-03-22T07:36:16Z,2026-08-21T13:11:13Z,jeffreyliimerch;jotyy;JeliPenguin;wakqasahmed;QinXi-ai
2026-08-30,IBM/mcp-context-forge,4387,846,1166,2025-05-08T08:16:59Z,2026-08-28T18:32:03Z,crivetimihai;madhav165;kevalmahajan;rakdutta;jonpspri
2026-08-30,pathwaycom/arc-task-gen,8869,58,1,2026-08-04T12:59:02Z,2026-08-11T09:52:10Z,ludovicPathway
2026-08-30,walkinglabs/learn-harness-engineering,14511,1437,9,2026-03-29T12:28:19Z,2026-08-26T01:08:59Z,sanbuphy;jpcmf;jim60105;luojiyin1987;ozzgurr
2026-08-30,volcengine/OpenViking,34359,2621,585,2026-01-05T07:11:17Z,2026-08-30T06:31:10Z,qin-ctx;ZaynJarvis;zhoujh01;r266-tech;MaojiaSheng
